SENSE daaa 122 19-04-2019 09:08:47.998 T: 28.57919883728027 [C]; A:[12, -14, 248]; H: 75.0546875
SENSE daaa 123 19-04-2019 09:08:48.575 T: 28.57919883728027 [C]; A:[16, -18, 242]; H: 75.0546875
SENSE daac 21 19-04-2019 09:08:48.336 T: 29.14079856872558 [C]; A:[0, 6, 234]; H: 76.23724365234375
SENSE daaa 124 19-04-2019 09:08:49.033 T: 28.57919883728027 [C]; A:[12, -16, 244]; H: 75.024169921875
SENSE daaa 125 19-04-2019 09:08:49.611 T: 28.57919883728027 [C]; A:[18, -20, 242]; H: 75.024169921875
SENSE daac 22 19-04-2019 09:08:49.386 T: 29.20319938659667 [C]; A:[6, 6, 232]; H: 76.183837890625
SENSE daaa 126 19-04-2019 09:08:50.099 T: 28.57919883728027 [C]; A:[16, -20, 250]; H: 74.97076416015625
SENSE daaa 127 19-04-2019 09:08:50.671 T: 28.57919883728027 [C]; A:[18, -16, 252]; H: 74.97076416015625
SENSE daac 23 19-04-2019 09:08:50.456 T: 29.20319938659667 [C]; A:[8, 10, 230]; H: 76.13043212890625
SENSE daaa 128 19-04-2019 09:08:51.143 T: 28.57919883728027 [C]; A:[14, -14, 254]; H: 74.9783935546875
SENSE daac 24 19-04-2019 09:08:51.576 T: 29.20319938659667 [C]; A:[6, 8, 240]; H: 76.1075439453125
