SENSE daad 41 22-04-2019 11:15:32.055 T: 25.77120018005371 [C]; A:[0, 0, 228]; H: 64.404052734375
SENSE daab 66 22-04-2019 11:15:13.155 T: 28.82879829406738 [C]; A:[-48, -16, 222]; H: 59.2313232421875
SENSE daab 67 22-04-2019 11:15:13.591 T: 28.89119911193847 [C]; A:[78, 94, 318]; H: 59.2313232421875
SENSE daad 42 22-04-2019 11:15:32.975 T: 25.77120018005371 [C]; A:[-8, 2, 234]; H: 64.37353515625
SENSE daab 68 22-04-2019 11:15:13.999 T: 28.89119911193847 [C]; A:[78, 94, 296]; H: 59.2313232421875
SENSE daaa 65 22-04-2019 11:15:34.319 T: 25.64639854431152 [C]; A:[0, -28, 246]; H: 63.77081298828125
SENSE daab 69 22-04-2019 11:15:14.469 T: 28.82879829406738 [C]; A:[70, 74, 256]; H: 59.2313232421875
SENSE daac 43 22-04-2019 11:15:29.484 T: 26.83199882507324 [C]; A:[0, 66, 192]; H: 64.49560546875
SENSE daab 70 22-04-2019 11:15:15.066 T: 28.89119911193847 [C]; A:[62, 90, 288]; H: 59.2008056640625
SENSE daab 71 22-04-2019 11:15:15.507 T: 28.82879829406738 [C]; A:[-56, -32, 168]; H: 59.1702880859375
SENSE daac 44 22-04-2019 11:15:35.380 T: 26.83199882507324 [C]; A:[0, 60, 192]; H: 64.587158203125
SENSE daab 72 22-04-2019 11:15:15.916 T: 28.82879829406738 [C]; A:[74, 102, 342]; H: 59.1702880859375
SENSE daab 73 22-04-2019 11:15:16.371 T: 28.82879829406738 [C]; A:[-64, -40, 152]; H: 59.1702880859375
SENSE daac 45 22-04-2019 11:15:36.520 T: 26.89439964294433 [C]; A:[0, 64, 192]; H: 64.70159912109375
